transaction_id,user_id,account_age_days,total_transactions_user,avg_amount_user,amount,country,bin_country,channel,merchant_category,promo_used,avs_match,cvv_result,three_ds_flag,transaction_time,shipping_distance_km,is_fraud
1,1,141,47,147.93,84.75,FR,FR,web,travel,0,1,1,1,2024-01-06T04:09:39Z,370.95,0
2,1,141,47,147.93,107.9,FR,FR,web,travel,0,0,0,0,2024-01-09T20:13:47Z,149.62,0
3,1,141,47,147.93,92.36,FR,FR,app,travel,1,1,1,1,2024-01-12T06:20:11Z,164.08,0
4,1,141,47,147.93,112.47,FR,FR,web,fashion,0,1,1,1,2024-01-15T17:00:04Z,397.4,0
5,1,141,47,147.93,132.91,FR,US,web,electronics,0,1,1,1,2024-01-17T01:27:31Z,935.28,0
6,1,141,47,147.93,224.82,FR,FR,web,travel,0,1,1,1,2024-01-26T22:05:08Z,289.06,0
7,1,141,47,147.93,125.98,FR,FR,app,electronics,0,1,1,1,2024-01-30T00:51:41Z,443.75,0
8,1,141,47,147.93,66.95,FR,RO,web,travel,0,1,1,1,2024-02-11T15:33:30Z,1390.59,0
9,1,141,47,147.93,261.58,FR,FR,app,grocery,0,0,0,0,2024-02-22T01:29:55Z,110.51,0
10,1,141,47,147.93,97.34,FR,FR,web,electronics,0,0,1,1,2024-03-09T11:13:19Z,232.34,0
11,1,141,47,147.93,143.65,FR,FR,web,travel,1,1,1,0,2024-03-10T12:02:42Z,120.57,0
12,1,141,47,147.93,184.93,FR,FR,app,grocery,0,0,0,1,2024-03-19T08:53:32Z,323.16,0
13,1,141,47,147.93,163.45,FR,FR,app,travel,0,1,1,1,2024-03-20T21:47:22Z,398.8,0
14,1,141,47,147.93,255.65,FR,FR,app,grocery,0,1,0,1,2024-03-28T16:25:31Z,34.84,0
15,1,141,47,147.93,187.96,FR,FR,app,fashion,1,1,1,1,2024-03-29T14:31:42Z,219.94,0
16,1,141,47,147.93,96.16,FR,FR,web,electronics,0,1,1,1,2024-04-13T18:52:52Z,399.24,0
17,1,141,47,147.93,439.66,FR,ES,web,gaming,0,1,1,1,2024-04-13T19:35:10Z,2411.25,0
18,1,141,47,147.93,163.02,FR,FR,app,electronics,0,1,0,0,2024-04-23T01:36:46Z,178.53,0
19,1,141,47,147.93,137.42,FR,FR,web,fashion,0,0,0,0,2024-04-23T03:14:45Z,419.16,0
20,1,141,47,147.93,239.53,FR,FR,app,fashion,0,1,1,0,2024-04-24T16:50:11Z,171.56,0
21,1,141,47,147.93,167.58,FR,FR,web,electronics,0,1,1,1,2024-04-28T21:47:34Z,341.48,0
22,1,141,47,147.93,180.61,FR,FR,app,travel,0,0,0,1,2024-05-01T05:37:49Z,102.37,0
23,1,141,47,147.93,514.3,FR,FR,web,electronics,0,1,1,1,2024-05-19T15:15:03Z,481.67,0
24,1,141,47,147.93,128.92,FR,FR,app,gaming,1,1,1,0,2024-06-05T22:52:12Z,209.85,0
25,1,141,47,147.93,126.2,FR,FR,app,travel,0,0,1,1,2024-06-06T14:15:51Z,226.64,0
26,1,141,47,147.93,156.81,FR,FR,web,electronics,0,1,1,1,2024-06-27T16:19:42Z,287.57,0
27,1,141,47,147.93,252.77,FR,FR,web,travel,0,1,1,1,2024-06-28T04:48:24Z,86.57,0
28,1,141,47,147.93,69.65,FR,FR,app,grocery,0,1,1,1,2024-06-29T17:01:32Z,377.2,0
29,1,141,47,147.93,55.36,FR,FR,app,gaming,1,0,1,1,2024-06-30T07:22:51Z,245.48,0
30,1,141,47,147.93,110.29,FR,FR,web,grocery,0,1,1,1,2024-06-30T15:37:34Z,378.78,0
31,1,141,47,147.93,65.35,FR,FR,web,gaming,0,1,1,0,2024-07-03T09:40:50Z,102.77,0
32,1,141,47,147.93,119.62,FR,FR,web,gaming,0,1,1,1,2024-07-06T14:19:40Z,141.98,0
33,1,141,47,147.93,190.18,FR,FR,web,travel,0,1,1,1,2024-07-07T20:55:59Z,174.55,0
34,1,141,47,147.93,94.76,FR,FR,web,fashion,0,1,1,1,2024-07-17T10:02:01Z,174.34,0
35,1,141,47,147.93,72.48,FR,FR,web,grocery,0,1,1,1,2024-07-21T09:20:25Z,305.61,0
36,1,141,47,147.93,153.14,FR,FR,web,travel,1,1,1,1,2024-07-27T13:06:33Z,345.07,0
37,1,141,47,147.93,227.69,FR,FR,app,travel,0,1,1,1,2024-08-12T12:25:01Z,120.1,0
38,1,141,47,147.93,63.39,FR,FR,web,gaming,1,1,0,0,2024-08-30T03:06:16Z,138.52,0
39,1,141,47,147.93,222.92,FR,FR,app,travel,0,0,1,1,2024-09-05T03:47:26Z,432.78,0
40,1,141,47,147.93,222.6,FR,FR,web,fashion,0,1,1,1,2024-09-10T23:04:23Z,6.99,0
41,1,141,47,147.93,238.35,FR,FR,app,gaming,0,1,1,1,2024-09-13T00:12:24Z,215.81,0
42,1,141,47,147.93,272.04,FR,FR,web,electronics,1,1,1,0,2024-10-03T07:20:25Z,464.98,0
43,1,141,47,147.93,444.84,FR,FR,app,grocery,0,0,0,1,2024-10-03T08:10:38Z,35.04,0
44,1,141,47,147.93,123.8,FR,FR,app,electronics,0,1,1,1,2024-10-04T19:20:19Z,156.49,0
45,1,141,47,147.93,156.26,FR,FR,web,travel,1,0,0,0,2024-10-11T07:16:56Z,230.7,0
46,1,141,47,147.93,120.12,FR,FR,web,travel,0,1,1,1,2024-10-13T10:40:24Z,54.58,0
47,1,141,47,147.93,148.07,FR,FR,web,fashion,0,1,1,1,2024-10-28T00:22:40Z,247.81,0
48,2,1598,57,78.39,168.71,US,US,web,electronics,1,1,1,1,2024-01-06T04:34:09Z,287.49,0
49,2,1598,57,78.39,40.01,US,US,web,gaming,0,1,1,1,2024-01-07T21:27:39Z,270.25,0
50,2,1598,57,78.39,50.97,US,US,app,travel,0,1,1,1,2024-01-21T20:42:26Z,278.0,0
51,2,1598,57,78.39,156.07,US,TR,app,travel,0,1,1,1,2024-01-26T02:18:19Z,1017.64,0
52,2,1598,57,78.39,130.55,US,RO,web,travel,0,1,1,1,2024-01-29T07:36:37Z,1481.39,0
53,2,1598,57,78.39,65.38,US,US,app,travel,0,1,1,1,2024-02-04T02:55:20Z,363.05,0
54,2,1598,57,78.39,120.17,US,US,web,fashion,0,1,1,1,2024-02-06T14:02:10Z,392.71,0
55,2,1598,57,78.39,92.98,US,US,web,travel,0,1,1,1,2024-02-09T19:37:33Z,58.63,0
56,2,1598,57,78.39,165.98,US,US,web,fashion,0,1,1,1,2024-02-10T04:22:14Z,498.94,0
57,2,1598,57,78.39,81.37,US,US,web,fashion,0,1,1,1,2024-02-13T22:35:51Z,164.43,0
58,2,1598,57,78.39,130.92,US,US,app,gaming,0,1,0,0,2024-02-14T03:12:07Z,497.03,0
59,2,1598,57,78.39,293.75,US,US,web,electronics,1,1,1,0,2024-02-25T05:31:57Z,59.56,0
60,2,1598,57,78.39,105.72,US,US,web,gaming,0,0,1,1,2024-03-09T12:25:58Z,69.43,0
61,2,1598,57,78.39,80.35,US,US,app,gaming,0,1,1,1,2024-03-09T19:16:00Z,308.89,0
62,2,1598,57,78.39,112.5,US,US,web,travel,0,0,1,1,2024-03-18T10:26:38Z,433.3,0
63,2,1598,57,78.39,65.31,US,US,web,travel,0,1,1,1,2024-03-23T07:30:27Z,407.97,0
64,2,1598,57,78.39,258.71,US,US,web,gaming,0,1,1,1,2024-03-23T10:57:00Z,122.16,0
65,2,1598,57,78.39,85.78,US,US,app,fashion,0,0,0,1,2024-03-23T20:05:28Z,164.86,0
66,2,1598,57,78.39,68.39,US,DE,app,electronics,0,1,1,1,2024-03-26T04:40:44Z,1829.46,0
67,2,1598,57,78.39,51.62,US,US,web,travel,0,1,1,1,2024-04-01T12:47:24Z,187.53,0
68,2,1598,57,78.39,135.69,US,US,app,electronics,0,1,1,1,2024-04-01T23:13:53Z,74.13,0
69,2,1598,57,78.39,120.94,US,US,web,travel,0,0,1,1,2024-04-03T10:47:54Z,353.17,0
70,2,1598,57,78.39,61.13,US,US,app,electronics,0,1,1,0,2024-04-06T07:42:06Z,383.53,0
71,2,1598,57,78.39,104.58,US,US,web,fashion,0,0,1,0,2024-04-19T23:11:45Z,344.41,0
72,2,1598,57,78.39,36.87,US,ES,app,grocery,0,1,1,1,2024-04-24T15:03:29Z,2361.1,0
73,2,1598,57,78.39,85.99,US,US,web,travel,0,1,0,0,2024-05-01T04:19:09Z,166.01,0
74,2,1598,57,78.39,98.31,US,US,app,gaming,0,0,0,0,2024-05-04T03:41:45Z,8.95,0
75,2,1598,57,78.39,184.09,US,US,web,electronics,0,0,0,0,2024-05-04T06:59:33Z,204.2,0
76,2,1598,57,78.39,53.32,US,US,web,fashion,1,0,1,1,2024-05-04T17:41:56Z,439.49,0
77,2,1598,57,78.39,41.37,US,ES,web,grocery,0,1,1,1,2024-05-08T07:16:36Z,750.19,0
